"2001:410:6000::","2001:410:60ff:ffff:ffff:ffff:ffff:ffff","US"
"2001:410:6100::","2001:410:ffff:ffff:ffff:ffff:ffff:ffff","CA"
"2001:411::","2001:447:ffff:ffff:ffff:ffff:ffff:ffff","US"
"2001:448::","2001:448:ffff:ffff:ffff:ffff:ffff:ffff","MX"
"2001:449::","2001:470:1:248:ffff:ffff:ffff:ffff","US"
"2001:470:1:249::","2001:470:1:249:ffff:ffff:ffff:ffff","CA"
"2001:470:1:24a::","2001:470:1:ffff:ffff:ffff:ffff:ffff","US"
"2001:470:2::","2001:470:2:ffff:ffff:ffff:ffff:ffff","DE"
"2001:470:3::","2001:470:3:ffff:ffff:ffff:ffff:ffff","CA"
"2001:470:4::","2001:470:4:4:ffff:ffff:ffff:ffff","US"
"2001:470:4:5::","2001:470:4:5:ffff:ffff:ffff:ffff","DO"
"2001:470:4:6::","2001:470:4:6:ffff:ffff:ffff:ffff","US"
"2001:470:4:7::","2001:470:4:7:ffff:ffff:ffff:ffff","CO"
"2001:470:4:8::","2001:470:4:8:ffff:ffff:ffff:ffff","GT"
"2001:470:4:9::","2001:470:4:9:ffff:ffff:ffff:ffff","BR"
"2001:470:4:a::","2001:470:4:a:ffff:ffff:ffff:ffff","US"
"2001:470:4:b::","2001:470:4:b:ffff:ffff:ffff:ffff","IT"
"2001:470:4:c::","2001:470:4:e:ffff:ffff:ffff:ffff","US"
"2001:470:4:f::","2001:470:4:10:ffff:ffff:ffff:ffff","IT"
"2001:470:4:11::","2001:470:4:12:ffff:ffff:ffff:ffff","BR"
"2001:470:4:13::","2001:470:4:15:ffff:ffff:ffff:ffff","US"
"2001:470:4:16::","2001:470:4:16:ffff:ffff:ffff:ffff","VE"
"2001:470:4:17::","2001:470:4:22:ffff:ffff:ffff:ffff","US"
"2001:470:4:23::","2001:470:4:23:ffff:ffff:ffff:ffff","SV"
"2001:470:4:24::","2001:470:4:24:ffff:ffff:ffff:ffff","US"
"2001:470:4:25::","2001:470:4:25:ffff:ffff:ffff:ffff","CL"
"2001:470:4:26::","2001:470:4:29:ffff:ffff:ffff:ffff","US"
"2001:470:4:2a::","2001:470:4:2a:ffff:ffff:ffff:ffff","CL"
"2001:470:4:2b::","2001:470:4:2b:ffff:ffff:ffff:ffff","UY"
"2001:470:4:2c::","2001:470:4:2c:ffff:ffff:ffff:ffff","BR"
"2001:470:4:2d::","2001:470:4:3e:ffff:ffff:ffff:ffff","US"
"2001:470:4:3f::","2001:470:4:3f:ffff:ffff:ffff:ffff","GT"
